rep,timeBef,timeAf,nSeeds,trt
1,0,1,0,1
1,1,2,0,1
1,2,3,0,1
1,3,4,0,1
1,4,5,6,1
1,5,6,5,1
1,6,7,8,1
1,7,8,7,1
1,8,9,0,1
1,9,10,1,1
1,10,11,1,1
1,11,12,0,1
1,12,13,1,1
1,13,14,0,1
1,14,15,0,1
1,15,16,0,1
1,16,17,0,1
1,17,18,0,1
1,18,19,0,1
1,19,20,0,1
1,20,21,0,1
1,21,22,0,1
1,22,23,0,1
1,23,24,0,1
1,24,25,0,1
1,25,26,0,1
1,26,27,0,1
1,27,28,0,1
1,28,29,0,1
1,29,30,0,1
1,30,31,0,1
1,31,32,0,1
1,32,33,0,1
1,33,34,0,1
1,34,35,0,1
1,36,inf,21,1
2,0,1,0,1
2,1,2,0,1
2,2,3,0,1
2,3,4,0,1
2,4,5,6,1
2,5,6,9,1
2,6,7,9,1
2,7,8,3,1
2,8,9,0,1
2,9,10,1,1
2,10,11,2,1
2,11,12,0,1
2,12,13,0,1
2,13,14,0,1
2,14,15,0,1
2,15,16,0,1
2,16,17,0,1
2,17,18,0,1
2,18,19,0,1
2,19,20,0,1
2,20,21,0,1
2,21,22,0,1
2,22,23,0,1
2,23,24,0,1
2,24,25,0,1
2,25,26,0,1
2,26,27,0,1
2,27,28,0,1
2,28,29,0,1
2,29,30,0,1
2,30,31,0,1
2,31,32,0,1
2,32,33,0,1
2,33,34,0,1
2,34,35,0,1
2,36,inf,20,1
3,0,1,0,1
3,1,2,0,1
3,2,3,0,1
3,3,4,0,1
3,4,5,6,1
3,5,6,6,1
3,6,7,16,1
3,7,8,5,1
3,8,9,0,1
3,9,10,1,1
3,10,11,0,1
3,11,12,0,1
3,12,13,0,1
3,13,14,0,1
3,14,15,0,1
3,15,16,0,1
3,16,17,0,1
3,17,18,0,1
3,18,19,0,1
3,19,20,0,1
3,20,21,0,1
3,21,22,0,1
3,22,23,0,1
3,23,24,0,1
3,24,25,0,1
3,25,26,0,1
3,26,27,0,1
3,27,28,0,1
3,28,29,0,1
3,29,30,0,1
3,30,31,0,1
3,31,32,0,1
3,32,33,0,1
3,33,34,0,1
3,34,35,0,1
3,36,inf,16,1
4,0,1,0,1
4,1,2,0,1
4,2,3,0,1
4,3,4,0,1
4,4,5,6,1
4,5,6,3,1
4,6,7,8,1
4,7,8,2,1
4,8,9,0,1
4,9,10,2,1
4,10,11,0,1
4,11,12,0,1
4,12,13,0,1
4,13,14,0,1
4,14,15,0,1
4,15,16,0,1
4,16,17,0,1
4,17,18,0,1
4,18,19,0,1
4,19,20,0,1
4,20,21,0,1
4,21,22,0,1
